title,author,link,poem,audio
L’AMIRAL,Jacques PRÉVERT,https://wheatoncollege.edu/vive-voix/titres//lamiral/,"L’amiral Larima
Larima quoi
la rime à rien
l’amiral Larima
l’amiral Rien.
dit par Gilles-Claude THERIAULT
Jacques PRÉVERT (Paroles, 1945) (poèmes tout courts)
",https://wheatoncollege.edu/wp-content/uploads/2012/01/lamiral.mp3
L’Amoureuse,Paul ÉLUARD,https://wheatoncollege.edu/vive-voix/titres//lamoureuse/,"Elle est debout sur mes paupières
Et ses cheveux sont dans les miens,
Elle a la forme de mes mains,
Elle a la couleur de mes yeux,
Elle s’engloutit dans mon ombre
Comme une pierre sur le ciel.
Elle a toujours les yeux ouverts
Et ne me laisse pas dormir.
Ses rêves en pleine lumière
Font s’évaporer les soleils,
Me font rire, pleurer et rire,
Parler sans avoir rien à dire.
dit par Gérard PHILIPPE
Paul ÉLUARD (Mourir ne pas mourir,1924)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/amoureuse.mp3
L’Ane,Francis JAMMES,https://wheatoncollege.edu/vive-voix/titres//lane/,"J’aime l’âne si doux
Marchant le long des houx.
Il prend garde aux abeilles
Et bouge ses oreilles ;
Il va près des fossés,
D’un petit pas cassé.
Il réfléchit toujours.
Ses yeux sont en velours.
Et il reste à l’étable,
Fatigué, misérable,
Ayant bien fatigué
Ses pauvres petits pieds.
Il a fait son devoir,
Du matin jusqu’au soir.
Il a tant travaillé
Que ça vous fait pitié.
Il est l’âne si doux
Marchant le long des houx.
dit par Yvonne GAUDEAU
Francis JAMMES (De l’Angélus de l’aube à l’angélus du soir , 1898)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/ane.mp3
"L’Ane chargé d’éponges, et l’âne chargé de sel",Jean de LA FONTAINE,https://wheatoncollege.edu/vive-voix/titres//lane-charg-dponges-lne-charg-de-sel/,"   Un ânier, son sceptre à la main,
   Menait en empereur romain
   Deux coursiers à longues oreilles.
L’un d’éponges chargé marchait comme un courrier,
   Et l’autre, se faisant prier,
   Portait, comme on dit, les bouteilles :
Sa charge était de sel. Nos gaillards pèlerins
   Par monts, par vaux et par chemins,
Au gué d’une rivière à la fin arrivèrent,
   Et fort empêchés se trouvèrent.
L’ânier, qui tous les jours traversait ce gué là,
   Sur l’âne à l’éponge monta,
   Chassant devant lui l’autre bête,
   Qui voulant en faire à sa tête
   Dans un trou se précipita,
   Revint sur l’eau, puis échappa ;
   Car au bout de quelques nagées
   Tout son sel se fondit si bien
   Que le baudet ne sentit rien
   Sur ses épaules soulagées.
Camarade épongier prit exemple sur lui,
Comme un mouton qui va dessus la foi d’autrui.
Voilà mon âne à l’eau : jusqu’au col il se plonge,
   Lui, le conducteur et l’éponge.
Tous trois burent d’autant ; l’ânier et le grison
   Firent à l’éponge raison.
   Celle-ci devint si pesante,
   Et de tant d’eau s’emplit d’abord,
Que l’âne succombant ne put gagner le bord.
   L’ânier l’embrassait, dans l’attente
   D’une prompte et certaine mort.
Quelqu’un vint au secours : qui ce fut, il n’importe ;
C’est assez qu’on ait vu par là qu’il ne faut point
   Agir chacun de même sorte.
   J’en voulais venir à ce point.
dit par Gilles-Claude THERIAULT
Jean de LA FONTAINE (Les Fables, 1668-1678)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/aneepongeanesel.mp3
Apparition,Stéphane MALLARMÉ,https://wheatoncollege.edu/vive-voix/titres//apparition/,"La lune s’attristait. Des séraphins en pleurs
Rêvant, l’archet aux doigts, dans le calme des fleurs
Vaporeuses, tiraient de mourantes violes
De blancs sanglots glissant sur l’azur des corolles
–C’était le jour béni de ton premier baiser.
Ma songerie aimant à me martyriser
S’enivrait savamment du parfum de tristesse
Que même sans regret et sans déboire laisse
La cueillaison d’un Rêve au coeur qui l’a cueilli.
J’errais donc, l’oeil rivé sur le pavé vieilli
Quand avec du soleil aux cheveux, dans la rue
Et dans le soir, tu m’es en riant apparue
Et j’ai cru voir la fée au chapeau de clarté
Qui jadis sur mes beaux sommeils d’enfant gâté
Passait, laissant toujours de ses mains mal fermées
Neiger de blancs bouquets d’étoiles parfumées.
 
dit par Paul-Émile DEIBER
Stéphane MALLARMÉ (Vers et prose, 1893)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/apparition.mp3
L’Araignée,Madeleine LEY,https://wheatoncollege.edu/vive-voix/titres//laraigne/,"Araignée grise,
Araignée d’argent,
Ton échelle exquise
Tremble dans le vent.
Toile d’araignée
— Émerveillement —
Lourde de rosée
Dans le matin blanc!
Ouvrage subtil
Qui frissonne et ploie,
Ô maison de fil,
Escalier de soie !
Araignée grise,
Araignée d’argent,
Ton échelle exquise
Tremble dans le vent.
dit par Magali DE VENDEUIL
Madeleine LEY (Petites voix, 1930)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/odeletteley.mp3
L’Aronde,Remy BELLEAU,https://wheatoncollege.edu/vive-voix/titres//laronde/,"Voici l’aronde passagère
Qui de son aile printanière
Chassant les glaces de l’hiver
Rend sereins et l’air et la mer :
Puis de sa bouchette cornue
Ainsi que d’un petit marteau
Maçonne et creuse le berceau
Pour la jeune et tendre venue
Du petit emplumé bétail,
Qu’elle musse, quand elle arrive
D’outre-mer, sous une solive
Ou sous la voûte d’un portail…
 
dit par Louis VELLE
dit par Gisèle CASADESUS
Remy BELLEAU (Seconde journée de la Bergerie, 1572)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/aronde.mp3
L’Art,Théophile GAUTIER,https://wheatoncollege.edu/vive-voix/titres//lart-2/,"Oui, l’oeuvre sort plus belle
D’une forme au travail
Rebelle,
Vers, marbre, onyx, émail. Point de contraintes fausses!
Mais que pour marcher droit
Tu chausses,
Muse, un cothurne étroit. Fi du rythme commode,
Comme un soulier trop grand,
Du mode
Que tout pied quitte et prend! Statuaire, repousse
L’argile que pétrit
Le pouce,
Quand flotte ailleurs l’esprit ; Lutte avec le carrare,
Avec le paros dur
Et rare,
Gardiens du contour pur ; Emprunte à Syracuse
Son bronze où fermement
S’accuse
Le trait fier et charmant ; D’une main délicate
Poursuis dans un filon
D’agate
Le profil d’Apollon. Peintre, fuis l’aquarelle
Et fixe la couleur
Trop frêle
Au four de l’émailleur. Fais les Sirènes bleues,
Tordant de cent façons
Leurs queues,
Les monstres des blasons ; Dans son nimbe trilobe
La Vierge et son Jésus,
Le globe
Avec la croix dessus. Tout passe. -L’art robuste
Seul a l’éternité ;
Le buste
Survit à la cité. Et la médaille austère
Que trouve un laboureur
Sous terre
Révèle un empereur. Les dieux eux-mêmes meurent,
Mais les vers souverains
Demeurent
Plus forts que les airains. Sculpte, lime, cisèle ;
Que ton rêve flottant
Se scelle
Dans le bloc résistant !
dit par Linette FISHER
Théophile GAUTIER (dans)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/art.mp3
Art poétique,Paul VERLAINE,https://wheatoncollege.edu/vive-voix/titres//art-potique/,"De la musique avant toute chose,
Et pour cela préfère l’Impair,
Plus vague et plus soluble dans l’air,
Sans rien en lui qui pèse ou qui pose.
Il faut aussi que tu n’ailles point
Choisir tes mots sans quelque méprise :
Rien de plus cher que la chanson grise
Où l’Indécis au Précis se joint.
C’est des beaux yeux derrière des voiles,
C’est le grand jour tremblant de midi,
C’est, par un ciel d’automne attiédi,
Le bleu fouillis des claires étoiles!
Car nous voulons la Nuance encore,
Pas la Couleur, rien que la nuance!
Oh! la nuance seule fiance
Le rêve au rêve et la flûte au cor!
Fuis du plus loin la Pointe assassine,
L’Esprit cruel et le Rire impur,
Qui font pleurer les yeux de l’Azur,
Et tout cet ail de basse cuisine!
Prend l’éloquence et tords-lui son cou!
Tu feras bien, en train d’énergie,
De rendre un peu la Rime assagie.
Si l’on n’y veille, elle ira jusqu’où?
O qui dira les torts de la Rime!
Quel enfant sourd ou quel nègre fou
Nous a forgé ce bijou d’un sou
Qui sonne creux et faux sous la lime?
De la musique encore et toujours!
Que ton vers soit la chose envolée
Qu’on sent qui fuit d’une âme en allée
Vers d’autres cieux à d’autres amours.
Que ton vers soit la bonne aventure
Éparse au vent crispé du matin
Qui va fleurant la menthe et le thym…
Et tout le reste est littérature.
dit par Gilles-Claude THERIAULT
Paul VERLAINE (Jadis et naguère), 1884
",https://wheatoncollege.edu/wp-content/uploads/2011/01/artpoetique.mp3
Les Assis,Arthur RIMBAUD,https://wheatoncollege.edu/vive-voix/titres//les-assis/,"Noirs de loupes, grêlés, les yeux cerclés de bagues
Vertes, leurs doigts boulus crispés à leurs fémurs,
Le sinciput plaqué de hargnosités vagues
Comme les floraisons lépreuses des vieux murs ;
Ils ont greffé dans des amours épileptiques
Leur fantasque ossature aux grands squelettes noirs
De leurs chaises ; leurs pieds aux barreaux rachitiques
S’entrelacent pour les matins et pour les soirs !
Ces vieillards ont toujours fait tresse avec leurs sièges,
Sentant les soleils vifs percaliser leur peau
Ou, les yeux à la vitre où se fanent les neiges,
Tremblant du tremblement douloureux du crapaud.
Et les Sièges leur ont des bontés : culottée
De brun, la paille cède aux angles de leurs reins ;
L’âme des vieux soleils s’allume emmaillotée
Dans ces tresses d’épis où fermentaient les grains.
Et les Assis, genoux aux dents, verts pianistes,
Les dix doigts sous leur siège aux rumeurs de tambour,
S’écoutent clapoter des barcarolles tristes,
Et leurs caboches vont dans des roulis d’amour.
– Oh ! ne les faites pas lever ! C’est le naufrage…
Ils surgissent, grondant comme des chats giflés,
Ouvrant lentement leurs omoplates, ô rage !
Tout leur pantalon bouffe à leurs reins boursouflés.
Et vous les écoutez, cognant leurs têtes chauves
Aux murs sombres, plaquant et plaquant leurs pieds tors,
Et leurs boutons d’habit sont des prunelles fauves
Qui vous accrochent l’oeil du fond des corridors !
Puis ils ont une main invisible qui tue :
Au retour, leur regard filtre ce venin noir
Qui charge l’oeil souffrant de la chienne battue,
Et vous suez pris dans un atroce entonnoir.
Rassis, les poings noyés dans des manchettes sales,
Ils songent à ceux-là qui les ont fait lever
Et, de l’aurore au soir, des grappes d’amygdales
Sous leurs mentons chétifs s’agitent à crever.
Quand l’austère sommeil a baissé leurs visières,
Ils rêvent sur leur bras de sièges fécondés,
De vrais petits amours de chaises en lisière
Par lesquelles de fiers bureaux seront bordés ;
Des fleurs d’encre crachant des pollens en virgule
Les bercent, le long des calices accroupis
Tels qu’au fil des glaïeuls le vol des libellules
– Et leur membre s’agace à des barbes d’épis.
dit par Jean-Louis BARRAULT
 
Arthur RIMBAUD (Poésies, 1870-1872)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/assis.mp3
Aube,Cécile PÉRIN,https://wheatoncollege.edu/vive-voix/titres//aube/,"Un invisible oiseau dans l’air pur a chanté.
Le ciel d’aube est d’un bleu suave et velouté.
C’est le premier oiseau qui chante.
Ecoute ! les jardins sont frémissants d’attente.
Ecoute ! un autre nid s’éveille, un autre nid,
Et c’est un pépiement éperdu qui jaillit.
Qui chanta le premier ? Nul ne sait. C’est l’aurore.
Comme un abricot mûr le ciel pâli se dore.
Qui chanta le premier ? Qu’importe ! On a chanté.
Et c’est un beau matin de l’immortel été.
dit par Nelly VIGNON
Cécile PÉRIN (Variations du coeur pensif, 1911)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/aube.perin_.mp3
L’Aube spirituelle,Charles BAUDELAIRE,https://wheatoncollege.edu/vive-voix/titres//laube-spirituelle/,"Quand chez les débauchés l’aube blanche et vermeille
Entre en société de l’Idéal rongeur,
Par l’opération d’un mystère vengeur
Dans la brute assoupie un ange se réveille.
Des Cieux Spirituels l’inaccessible azur,
Pour l’homme terrassé qui rêve encore et souffre,
S’ouvre et s’enfonce avec l’attirance du gouffre.
Ainsi, chère Déesse, Etre lucide et pur,
Sur les débris fumeux des stupides orgies
Ton souvenir plus clair, plus rose, plus charmant,
A mes yeux agrandis voltige incessamment.
Le soleil a noirci la flamme des bougies ;
Ainsi, toujours vainqueur, ton fantôme est pareil,
Ame resplendissante, à l’immortel soleil !
dit par Gilles-Claude THERIAULT
Charles BAUDELAIRE (Les Fleurs du mal, 1857)
",https://wheatoncollege.edu/wp-content/uploads/2011/07/aubespirituelle.mp3
L’Aurore s’allume,Victor HUGO,https://wheatoncollege.edu/vive-voix/titres//laurore-sallume/,"L’aurore s’allume,
L’ombre épaisse fuit;
Le rêve et la brume
Vont où va la nuit;
Paupières et roses
S’ouvrent demi-closes;
Du réveil des choses
On entend le bruit.
Tout chante et murmure,
Tout parle à la fois,
Fumée et verdure,
Les nids et les toits;
Le vent parle aux chênes,
L’eau parle aux fontaines;
Toutes le haleines
Deviennent des voix.
Tout reprend son âme,
L’enfant son hochet,
Le foyer sa flamme,
Le luth son archet,
Folie ou démence,
Dans le monde immense,
Chacun recommence
Ce qu’il ébauchait.
Qu’on pense ou qu’on aime,
Sans cesse agité,
Vers un but suprême,
Tout vole emporté;
L’esquif cherche un môle,
L’abeille un vieux saule,
La boussole un pôle,
Moi la vérité.
 
dit par Jean DESAILLY
dit par Lise DELAMARE
Victor HUGO (Les Chants du crépuscule, 1835)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/auroresallume.mp3
L’AUTOMNE,Jacques PRÉVERT,https://wheatoncollege.edu/vive-voix/titres//lautomne/,"Un cheval s’écroule au milieu d’une allée
Les feuilles tombent sur lui
Notre amour frissonne
Et le soleil aussi.
dit par Gilles-Claude THERIAULT
Jacques PRÉVERT (Paroles, 1945) (poèmes tout courts)
",https://wheatoncollege.edu/wp-content/uploads/2012/01/lautomneprevert.mp3
L’Automne,Alphonse de LAMARTINE,https://wheatoncollege.edu/vive-voix/titres//lautomne-2/,"Salut! bois couronnés d’un reste de verdure !
Feuillages jaunissants sur les gazons épars !
Salut, derniers beaux jours ! Le deuil de la nature
Convient à la douleur et plaît à mes regards !
Je suis d’un pas rêveur le sentier solitaire,
J’aime à revoir encor, pour la dernière fois,
Ce soleil pâlissant, dont la faible lumière
Perce à peine à mes pieds l’obscurité des bois !
Oui, dans ces jours d’automne où la nature expire,
A ses regards voilés, je trouve plus d’attraits,
C’est l’adieu d’un ami, c’est le dernier sourire
Des lèvres que la mort va fermer pour jamais !
Ainsi, prêt à quitter l’horizon de la vie,
Pleurant de mes longs jours l’espoir évanoui,
Je me retourne encore, et d’un regard d’envie
Je contemple ses biens dont je n’ai pas joui !
Terre, soleil, vallons, belle et douce nature,
Je vous dois une larme aux bords de mon tombeau ;
L’air est si parfumé ! la lumière est si pure !
Aux regards d’un mourant le soleil est si beau !
Je voudrais maintenant vider jusqu’à la lie
Ce calice mêlé de nectar et de fiel !
Au fond de cette coupe où je buvais la vie,
Peut-être restait-il une goutte de miel?
Peut-être l’avenir me gardait-il encore
Un retour de bonheur dont l’espoir est perdu?
Peut-être dans la foule, une âme que j’ignore
Aurait compris mon âme, et m’aurait répondu?…
La fleur tombe en livrant ses parfums au zéphire;
A la vie, au soleil, ce sont là ses adieux;
Moi, je meurs; et mon âme, au moment qu’elle expire,
S’exhale comme un son triste et mélodieux.
dit par Paul-Emile DEIBER
Alphonse de LAMARTINE (Premières méditations, 1820)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/automne.mp3
